,player_slot,hero_id,kills,deaths,assists,last_hits,denies,gold_per_min,xp_per_min,level,hero_damage,tower_damage,hero_healing,gold,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,won,match_id,match_id_int
403,2.0,15.0,4.0,4.0,10.0,129.0,3.0,1189.0,1613.0,25.0,,,,,,,,,1,4905985665.0,4905985665
404,1.0,67.0,18.0,3.0,22.0,363.0,18.0,644.0,740.0,28.0,70351.0,5388.0,0.0,6063.0,24090.0,30757.0,2548.0,0.0,1,5417535106.0,5417535106
405,131.0,77.0,13.0,3.0,21.0,302.0,12.0,569.0,688.0,24.0,21060.0,9085.0,0.0,5008.0,16790.0,15730.0,3895.0,0.0,1,5436817030.0,5436817030
406,3.0,84.0,2.0,11.0,34.0,71.0,2.0,337.0,539.0,25.0,,,,,,,,,1,5108041354.0,5108041354
407,130.0,23.0,5.0,7.0,5.0,192.0,7.0,377.0,437.0,18.0,15390.0,0.0,0.0,1328.0,10205.0,10265.0,0.0,0.0,0,5395033742.0,5395033742
408,1.0,39.0,8.0,9.0,7.0,147.0,4.0,316.0,488.0,21.0,21602.0,749.0,0.0,1469.0,11340.0,14909.0,439.0,0.0,0,5445019285.0,5445019285
409,2.0,37.0,2.0,6.0,16.0,68.0,7.0,298.0,459.0,21.0,,,,,,,,,1,4963747477.0,4963747477
410,1.0,64.0,3.0,10.0,23.0,175.0,14.0,406.0,681.0,24.0,41242.0,3452.0,0.0,1331.0,13465.0,21244.0,1453.0,0.0,0,5453794983.0,5453794983
411,3.0,15.0,8.0,1.0,2.0,90.0,9.0,456.0,574.0,14.0,12604.0,1605.0,0.0,1006.0,7985.0,10663.0,834.0,0.0,1,5435502251.0,5435502251
412,1.0,36.0,6.0,4.0,19.0,76.0,3.0,403.0,485.0,18.0,,,,,,,,,1,5290985140.0,5290985140
413,132.0,114.0,4.0,6.0,6.0,165.0,13.0,1023.0,1060.0,25.0,,,,,,,,,1,4898113204.0,4898113204
414,130.0,108.0,1.0,9.0,6.0,113.0,8.0,284.0,373.0,15.0,14697.0,70.0,0.0,1171.0,6870.0,8894.0,34.0,0.0,0,5433704149.0,5433704149
415,131.0,30.0,5.0,9.0,6.0,38.0,6.0,252.0,388.0,17.0,,,,,,,,,0,4992843478.0,4992843478
416,129.0,36.0,3.0,8.0,4.0,38.0,5.0,209.0,371.0,17.0,11953.0,291.0,5011.0,218.0,7280.0,5689.0,183.0,3049.0,0,5354311388.0,5354311388
417,3.0,80.0,3.0,8.0,12.0,313.0,3.0,459.0,534.0,26.0,,,,,,,,,0,5131400924.0,5131400924
418,3.0,93.0,3.0,10.0,15.0,206.0,12.0,346.0,501.0,22.0,16383.0,208.0,0.0,69.0,13750.0,8312.0,149.0,0.0,0,5421637342.0,5421637342
421,4.0,129.0,0.0,2.0,11.0,30.0,5.0,261.0,364.0,11.0,,,,,,,,,1,4991592168.0,4991592168
423,0.0,71.0,11.0,4.0,17.0,59.0,6.0,356.0,505.0,20.0,,,,,,,,,1,5222602475.0,5222602475
424,1.0,41.0,15.0,4.0,15.0,285.0,8.0,645.0,697.0,27.0,33408.0,8390.0,0.0,2899.0,24495.0,20741.0,4699.0,0.0,1,5328735986.0,5328735986
425,131.0,13.0,1.0,8.0,5.0,231.0,13.0,366.0,555.0,23.0,14389.0,622.0,0.0,1159.0,12140.0,7409.0,408.0,0.0,0,5445299958.0,5445299958
426,128.0,36.0,7.0,5.0,23.0,66.0,1.0,322.0,449.0,19.0,,,,,,,,,1,5168449273.0,5168449273
427,0.0,83.0,1.0,8.0,6.0,27.0,1.0,178.0,304.0,15.0,,,,,,,,,0,4979873529.0,4979873529
428,1.0,35.0,5.0,12.0,52.0,598.0,8.0,564.0,512.0,30.0,68953.0,132.0,400.0,10299.0,37790.0,21661.0,74.0,373.0,0,5458034435.0,5458034435
430,128.0,36.0,7.0,7.0,8.0,99.0,3.0,293.0,390.0,18.0,,,,,,,,,0,5328170762.0,5328170762
431,1.0,93.0,3.0,9.0,7.0,152.0,10.0,338.0,468.0,19.0,,,,,,,,,0,5280655116.0,5280655116
432,129.0,75.0,8.0,6.0,12.0,58.0,11.0,320.0,480.0,21.0,,,,,,,,,0,5166812942.0,5166812942
