player_slot,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,kills,deaths,assists,leaver_status,last_hits,denies,gold_per_min,xp_per_min,level,won,match_id,hero_damage,tower_damage,hero_healing,gold,gold_spent,scaled_hero_damage,scaled_tower_damage,scaled_hero_healing,ability_upgrades,additional_units,match_id_int
0.0,42.0,50.0,210.0,125.0,143.0,249.0,40.0,0.0,73.0,0.0,377.0,2.0,3.0,5.0,0.0,273.0,10.0,425.0,555.0,22.0,False,5549187167.0,10324.0,1535.0,2035.0,353.0,17305.0,4575.0,822.0,914.0,"[{'ability': 5086, 'time': 240, 'level': 1}, {'ability': 5087, 'time': 363, 'level': 2}, {'ability': 5088, 'time': 425, 'level': 3}, {'ability': 5088, 'time': 536, 'level': 4}, {'ability': 5087, 'time': 616, 'level': 5}, {'ability': 5089, 'time': 730, 'level': 6}, {'ability': 5088, 'time': 859, 'level': 7}, {'ability': 5088, 'time': 983, 'level': 8}, {'ability': 5087, 'time': 1170, 'level': 9}, {'ability': 6119, 'time': 1261, 'level': 10}, {'ability': 5087, 'time': 1359, 'level': 11}, {'ability': 5089, 'time': 1432, 'level': 12}, {'ability': 5086, 'time': 1545, 'level': 13}, {'ability': 5086, 'time': 1625, 'level': 14}, {'ability': 5928, 'time': 1773, 'level': 15}, {'ability': 5086, 'time': 1889, 'level': 16}, {'ability': 5089, 'time': 2157, 'level': 17}, {'ability': 6821, 'time': 2342, 'level': 18}]",,5549187167
130.0,120.0,174.0,180.0,11.0,166.0,8.0,218.0,17.0,0.0,0.0,212.0,0.0,11.0,9.0,0.0,197.0,18.0,307.0,420.0,19.0,0.0,5452841057.0,,,,,,,,,,,5452841057
132.0,2.0,1.0,50.0,127.0,114.0,94.0,11.0,0.0,0.0,0.0,360.0,3.0,5.0,12.0,0.0,156.0,15.0,416.0,447.0,19.0,1.0,5406382179.0,,,,,,,,,,,5406382179
1.0,42.0,50.0,249.0,73.0,11.0,137.0,143.0,0.0,0.0,0.0,376.0,9.0,1.0,7.0,0.0,241.0,13.0,539.0,581.0,21.0,True,5553989732.0,17794.0,9355.0,2942.0,976.0,20705.0,11726.0,4033.0,1304.0,"[{'ability': 5086, 'time': 148, 'level': 1}, {'ability': 5087, 'time': 306, 'level': 2}, {'ability': 5088, 'time': 410, 'level': 3}, {'ability': 5087, 'time': 500, 'level': 4}, {'ability': 5088, 'time': 572, 'level': 5}, {'ability': 5089, 'time': 752, 'level': 6}, {'ability': 5088, 'time': 830, 'level': 7}, {'ability': 5088, 'time': 945, 'level': 8}, {'ability': 5087, 'time': 1089, 'level': 9}, {'ability': 6119, 'time': 1169, 'level': 10}, {'ability': 5087, 'time': 1227, 'level': 11}, {'ability': 5089, 'time': 1389, 'level': 12}, {'ability': 5086, 'time': 1544, 'level': 13}, {'ability': 5086, 'time': 1714, 'level': 14}, {'ability': 5928, 'time': 1816, 'level': 15}, {'ability': 5086, 'time': 1891, 'level': 16}, {'ability': 5089, 'time': 1998, 'level': 17}, {'ability': 6201, 'time': 2238, 'level': 18}]",,5553989732
129.0,77.0,194.0,108.0,112.0,168.0,48.0,43.0,0.0,0.0,0.0,377.0,4.0,5.0,10.0,0.0,268.0,8.0,526.0,616.0,24.0,1.0,5511946344.0,,,,,,,,,,,5511946344
128.0,40.0,190.0,100.0,214.0,277.0,42.0,0.0,0.0,0.0,0.0,289.0,3.0,10.0,15.0,0.0,150.0,6.0,376.0,522.0,21.0,False,5597335657.0,27393.0,380.0,0.0,2159.0,9995.0,17104.0,208.0,0.0,"[{'ability': 5179, 'time': 178, 'level': 1}, {'ability': 5178, 'time': 390, 'level': 2}, {'ability': 5179, 'time': 500, 'level': 3}, {'ability': 5180, 'time': 539, 'level': 4}, {'ability': 5180, 'time': 860, 'level': 5}, {'ability': 5181, 'time': 949, 'level': 6}, {'ability': 5180, 'time': 1089, 'level': 7}, {'ability': 5179, 'time': 1202, 'level': 8}, {'ability': 5180, 'time': 1337, 'level': 9}, {'ability': 416, 'time': 1401, 'level': 10}, {'ability': 5179, 'time': 1402, 'level': 11}, {'ability': 5181, 'time': 1463, 'level': 12}, {'ability': 5178, 'time': 1470, 'level': 13}, {'ability': 5178, 'time': 1649, 'level': 14}, {'ability': 6532, 'time': 1713, 'level': 15}, {'ability': 5178, 'time': 1778, 'level': 16}, {'ability': 5181, 'time': 1970, 'level': 17}, {'ability': 434, 'time': 2313, 'level': 18}]",,5597335657
2.0,22.0,41.0,77.0,232.0,29.0,215.0,237.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,74.0,15.0,219.0,325.0,14.0,0.0,5446799466.0,,,,,,,,,,,5446799466
130.0,77.0,11.0,164.0,194.0,188.0,48.0,112.0,0.0,0.0,0.0,334.0,3.0,4.0,19.0,0.0,196.0,11.0,534.0,602.0,20.0,1.0,5406771309.0,,,,,,,,,,,5406771309
130.0,26.0,254.0,11.0,218.0,214.0,21.0,23.0,0.0,0.0,0.0,0.0,4.0,11.0,7.0,0.0,21.0,1.0,224.0,374.0,14.0,False,5603240052.0,5675.0,0.0,400.0,153.0,5905.0,4798.0,0.0,238.0,"[{'ability': 5044, 'time': 222, 'level': 1}, {'ability': 5045, 'time': 347, 'level': 2}, {'ability': 5046, 'time': 475, 'level': 3}, {'ability': 5046, 'time': 550, 'level': 4}, {'ability': 5046, 'time': 743, 'level': 5}, {'ability': 5047, 'time': 817, 'level': 6}, {'ability': 5046, 'time': 845, 'level': 7}, {'ability': 5044, 'time': 1109, 'level': 8}, {'ability': 5044, 'time': 1339, 'level': 9}, {'ability': 5045, 'time': 1485, 'level': 10}, {'ability': 465, 'time': 1576, 'level': 11}, {'ability': 5047, 'time': 1713, 'level': 12}, {'ability': 5045, 'time': 1773, 'level': 13}, {'ability': 5044, 'time': 1794, 'level': 14}]",,5603240052
129.0,17.0,98.0,41.0,77.0,63.0,77.0,0.0,0.0,0.0,0.0,359.0,4.0,7.0,1.0,0.0,99.0,13.0,272.0,390.0,16.0,0.0,5431816309.0,,,,,,,,,,,5431816309
3.0,5.0,256.0,36.0,216.0,218.0,214.0,254.0,0.0,0.0,0.0,304.0,2.0,13.0,15.0,0.0,43.0,1.0,317.0,361.0,16.0,1.0,5330036869.0,,,,,,,,,,,5330036869
132.0,41.0,139.0,63.0,26.0,181.0,166.0,249.0,0.0,0.0,0.0,379.0,8.0,7.0,12.0,0.0,289.0,17.0,489.0,687.0,26.0,0.0,5330679942.0,,,,,,,,,,,5330679942
3.0,11.0,152.0,263.0,156.0,63.0,41.0,75.0,0.0,0.0,0.0,376.0,7.0,4.0,10.0,0.0,232.0,24.0,480.0,662.0,25.0,True,5537536142.0,29068.0,7425.0,25.0,4095.0,17875.0,14581.0,3711.0,3.0,"[{'ability': 5062, 'time': 184, 'level': 1}, {'ability': 5059, 'time': 239, 'level': 2}, {'ability': 5062, 'time': 292, 'level': 3}, {'ability': 5059, 'time': 352, 'level': 4}, {'ability': 5062, 'time': 447, 'level': 5}, {'ability': 5061, 'time': 531, 'level': 6}, {'ability': 5060, 'time': 613, 'level': 7}, {'ability': 5062, 'time': 698, 'level': 8}, {'ability': 5064, 'time': 821, 'level': 9}, {'ability': 6119, 'time': 907, 'level': 10}, {'ability': 5063, 'time': 1029, 'level': 11}, {'ability': 5064, 'time': 1184, 'level': 12}, {'ability': 5063, 'time': 1250, 'level': 13}, {'ability': 5063, 'time': 1387, 'level': 14}, {'ability': 5919, 'time': 1498, 'level': 15}, {'ability': 5063, 'time': 1652, 'level': 16}, {'ability': 5064, 'time': 1941, 'level': 17}, {'ability': 6670, 'time': 2395, 'level': 18}, {'ability': 6912, 'time': 2787, 'level': 19}]",,5537536142
129.0,84.0,229.0,43.0,73.0,36.0,180.0,38.0,0.0,0.0,0.0,360.0,4.0,3.0,22.0,0.0,48.0,10.0,330.0,558.0,20.0,1.0,5439389839.0,,,,,,,,,,,5439389839
130.0,14.0,1.0,178.0,206.0,244.0,214.0,218.0,298.0,16.0,0.0,308.0,3.0,12.0,9.0,0.0,105.0,6.0,277.0,382.0,19.0,False,5589813396.0,9913.0,154.0,0.0,1683.0,9620.0,5988.0,108.0,0.0,"[{'ability': 5075, 'time': 220, 'level': 1}, {'ability': 5076, 'time': 404, 'level': 2}, {'ability': 5075, 'time': 483, 'level': 3}, {'ability': 5074, 'time': 626, 'level': 4}, {'ability': 5075, 'time': 750, 'level': 5}, {'ability': 5077, 'time': 869, 'level': 6}, {'ability': 5075, 'time': 936, 'level': 7}, {'ability': 5076, 'time': 959, 'level': 8}, {'ability': 5076, 'time': 1104, 'level': 9}, {'ability': 5931, 'time': 1298, 'level': 10}, {'ability': 5074, 'time': 1485, 'level': 11}, {'ability': 5077, 'time': 1641, 'level': 12}, {'ability': 5074, 'time': 1816, 'level': 13}, {'ability': 5074, 'time': 2034, 'level': 14}, {'ability': 7142, 'time': 2268, 'level': 15}, {'ability': 5076, 'time': 2615, 'level': 16}, {'ability': 5077, 'time': 2771, 'level': 17}]",,5589813396
131.0,14.0,178.0,206.0,214.0,218.0,216.0,39.0,0.0,0.0,0.0,308.0,1.0,14.0,8.0,0.0,53.0,4.0,218.0,235.0,13.0,0.0,5492641941.0,,,,,,,,,,,5492641941
1.0,108.0,50.0,226.0,178.0,81.0,90.0,127.0,0.0,0.0,0.0,359.0,3.0,5.0,28.0,0.0,188.0,7.0,457.0,715.0,26.0,True,5522514070.0,13989.0,3693.0,6053.0,3392.0,15325.0,7947.0,1898.0,2010.0,"[{'ability': 5613, 'time': 142, 'level': 1}, {'ability': 5615, 'time': 362, 'level': 2}, {'ability': 5615, 'time': 435, 'level': 3}, {'ability': 5613, 'time': 550, 'level': 4}, {'ability': 5615, 'time': 674, 'level': 5}, {'ability': 5613, 'time': 807, 'level': 6}, {'ability': 5614, 'time': 857, 'level': 7}, {'ability': 5613, 'time': 1031, 'level': 8}, {'ability': 5615, 'time': 1154, 'level': 9}, {'ability': 5614, 'time': 1350, 'level': 10}, {'ability': 5616, 'time': 1430, 'level': 11}, {'ability': 5616, 'time': 1465, 'level': 12}, {'ability': 6299, 'time': 1550, 'level': 13}, {'ability': 5614, 'time': 1715, 'level': 14}, {'ability': 557, 'time': 1759, 'level': 15}, {'ability': 5614, 'time': 1810, 'level': 16}, {'ability': 5616, 'time': 1986, 'level': 17}, {'ability': 6079, 'time': 2203, 'level': 18}, {'ability': 6019, 'time': 2649, 'level': 19}]",,5522514070
4.0,39.0,250.0,116.0,0.0,77.0,218.0,180.0,0.0,0.0,0.0,365.0,5.0,12.0,23.0,0.0,124.0,6.0,339.0,581.0,25.0,1.0,5445157019.0,,,,,,,,,,,5445157019
